Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-12,AAH 8258,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-22,AAH 8447,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-14,AAH 8670,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,AAH 8978,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-24,AAH 9417,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-13,AAH1895,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-18,AAH6237,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-18,AAH6523,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-19,AAI 1888,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-14,AAI 1922,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-15,AAI 2149,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-25,AAI 2187,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-15,AAI 2188,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-20,AAI 3408,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-22,AAI 3424,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-23,AAI 3695,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-22,AAI 3711,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-17,AAI 3786,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-18,AAI 4217,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,AAI 4628,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-22,AAI 4884,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-26,AAI 4914,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-19,AAI 5434,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-23,AAI 6278,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-21,AAI 6376,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-12,AAI 6553,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-19,AAI 6895,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,AAI 7004,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-19,AAI 7068,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAI 8583,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-24,AAI 8863,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-22,AAI 8986,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-19,AAI 9054,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-19,AAI7549,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-10,AAJ 1671,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAJ 1862,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-25,AAJ 1950,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-19,AAJ 2052,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-16,AAJ 3429,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-21,AAJ 3523,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-22,AAJ 4214,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-16,AAJ 4604,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAJ 4604,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-20,AAJ 4724,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,AAJ 5848,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-17,AAJ 5853,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,AAJ 6107,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-10,AAJ 7665,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-21,AAJ 7885,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,AAJ 8103,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-21,AAJ 8248,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAJ 8474,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-12,AAJ 8634,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-24,AAJ 8969,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,AAJ 9131,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-25,AAJ 9341,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-25,AAJ 9397,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-18,AAJ 9482,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-21,AAJ 9814,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-21,AAJ 9903,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-15,AAJ5168,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-18,AAJ6402,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-24,AAK 1019,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-12,AAK 1321,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-20,AAK 1502,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAK 2024,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-24,AAK 2279,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-13,AAK 2356,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-18,AAK 2431,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-11,AAK 2792,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-14,AAK 2862,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-18,AAK 3687,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-24,AAK 3989,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
